sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
158,46,Aphanopus carbo,Large demersal fish,Black scabbard,0,NE,0,13.5,1
159,46,Petromyzon marinus,Large demersal fish ,Sea lamprey,1,LC,1,9.8,0
160,46,Helicolenus dactylopterus,Large demersal fish,bluemouth redfish,1,LC,1,20.9,1
161,46,Myxine glutinosa,Large demersal fish ,Atlantic hagfish ,1,LC,1,13.5,0
162,46,Belone belone,Large demersal fish,Garfish,1,LC,0,9.9,1
163,46,Sebastes viviparous,Large demersal fish,norway haddock ,0,NE,0,13.5,1
164,46,Sebastes norvegicus,Large demersal fish ,Golden redfish ,0,NE,1,18.9,1
165,46,Osmerus eperlanus,Large demersal fish ,European smelt,1,LC,0,9.9,1
166,46,Salvelinus alpinus,Large demersal fish ,Arctic char,1,LC,1,13.5,0
167,46,Anguilla anguilla,Large demersal fish,European eel,1,CR,1,15,1
168,46,Mullus surmuletus,Large demersal fish,Red mullet ,1,LC,1,9.4,1
169,46,Spondyliosoma cantharus,Large demersal fish,Black seabream,1,LC,0,10.7,1
170,46,Cepola macrophthalma,Large demersal fish ,Red bandfish,1,LC,0,13.5,0
171,46,Thunnus thynnus,Large demersal fish,Atlantic bluefin tuna,1,EN,1,13,0
172,46,Lepidopus caudatus,Large demersal fish ,Silver scabbardfish ,1,DD,0,13.5,0
173,46,Zeus faber,Large demersal fish,John dory,1,DD,1,11.6,1
174,46,Lophius budegassa,Large demersal fish,Black-bellied angler,1,DD,1,19,0
175,46,Sparus aurata,Large demersal fish ,Gilthead seabream ,1,LC,1,9.9,0
176,46,Coryphaenoides rupestris,Large demersal fish,roundnose grenadier,1,CR,1,20,1
177,46,Liza ramada,Large demersal fish ,Thinlip grey mullet,1,LC,1,10.9,0
178,46,Centrophorus squamosus,Large demersal fish ,Leafscale gulper shark ,1,VU,1,13.5,0
179,46,Centrolophus niger,Large demersal fish ,Rudderfish,1,LC,0,13.5,0
180,46,Pagellus erythrinus,Large demersal fish ,Common pandora,1,LC,0,10.9,0
181,46,Chimaera monstrosa,Large demersal fish,rabbitfish,1,NT,0,19.1,1
182,46,Liza aurata,Large demersal fish,Golden grey mullet,1,LC,1,11.4,0
183,46,Chelon labrosus,Large demersal fish,Thicklip grey mullet,1,LC,0,10.9,0
184,46,Sebastes fasciatus,Large demersal fish,Redfish,1,EN,1,13.4,1
185,47,Thorogobius ephippiatus,Small demersal fish ,Leopard-spotted goby ,1,LC,0,4.5,0
186,47,Alepocephalus bairdii,Small demersal fish ,Baird's slickhead,1,DD,0,3.9,1
187,47,Myoxocephalus scorpius,Small demersal fish ,bullrout,0,NE,1,3,1
188,47,Triglops murrayi,Small demersal fish ,Moustache sculpin,0,NE,1,3.9,0
189,47,Centrolabrus exoletus,Small demersal fish ,Rock cook,1,LC,0,3.9,0
190,47,Acantholabrus palloni,Small demersal fish ,Scale-rayed Wrasse,1,LC,0,3.9,0
191,47,Gasterosteus aculeatus,Small demersal fish ,Three-spined stickleback ,1,LC,1,3,0
192,47,Labrus mixtus,Small demersal fish ,Cuckoo wrasse ,1,LC,0,3,0
193,47,Pomatoschistus microps,Small demersal fish ,Common goby ,1,LC,1,1.8,0
194,47,Gobius niger,Small demersal fish ,Black goby ,1,LC,0,3,0
195,47,Symphodus melops,Small demersal fish ,Corkwing wrasse,1,LC,0,4,0
196,47,Hippocampus guttulatus,Small demersal fish ,Long-snouted seahorse,1,DD,0,2,0
197,47,Trachinus draco,Small demersal fish ,greater weever,1,LC,0,3.9,1
198,47,Argentina sphyraena,Small demersal fish ,Lesser argentine,0,NE,1,3.9,0
199,47,Pagellus acarne,Small demersal fish ,Axillary seabream,1,LC,0,3.5,0
200,47,Arnoglossus laterna,Small demersal fish ,scaldfish,1,LC,1,4,1
201,47,Hoplostethus atlanticus,Small demersal fish ,Orangy roughy ,0,NE,1,32.7,1
202,47,Pungitius pungitius,Small demersal fish ,Ninespine stickleback,1,LC,1,2.3,0
203,47,Mullus barbatus,Small demersal fish ,Red mullet,1,LC,1,3.9,0
204,47,Pomatoschistus norvegicus,Small demersal fish ,Norway goby ,1,LC,0,3.9,0
205,47,Liparis liparis,Small demersal fish ,sea snail,1,LC,0,3,1
206,47,Liparis montagui,Small demersal fish ,Montagu's sea snail,1,LC,0,3.9,0
