Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61216.20908,0,0,0,0,0,12045.89848,0,495558.5798,22842.70224,18925.00812,0,0,562247.5666,0,81200.22889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57716.81927,0,0,0,0,0,11951.8718,0,489681.6622,22839.51092,18589.71919,0,0,550325.0975,0,64737.54522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57703.8258,0,0,0,0,0,11941.19067,0,487182.608,22851.8144,20349.05127,0,0,559475.4779,0,106730.0966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59453.83183,0,0,0,0,0,11945.42852,0,490437.4008,22989.10648,20454.69349,0,0,562163.1925,0,96095.76841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61536.74372,0,0,0,0,0,12048.90089,0,494615.8334,23172.77984,19408.17643,0,0,574811.351,0,64925.68064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60976.84638,0,0,0,0,0,12201.56132,0,493310.6167,23163.10429,17328.3559,0,0,558435.5622,0,147077.2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58838.00263,0,0,0,0,0,12232.11835,0,490869.4523,23149.12314,17592.83469,0,0,581076.1023,0,125887.0815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58928.59053,0,0,0,0,0,12247.96159,0,489447.7243,23158.04747,19358.85932,0,0,589437.118,0,51644.42227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59416.19492,0,0,0,0,0,12215.63443,0,491767.3892,23099.17693,19749.02756,0,0,595256.9201,0,54516.96624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58353.15555,0,0,0,0,0,12147.31562,0,492592.3291,23096.43374,16911.04829,0,0,554584.3884,0,67755.62723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
